PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SI-SCIA;via romano giulio 8  Scia con opere interne e cambio di destinazione d'uso da laboratorio a  commerciale;manutenzione straordinaria non rientrante nell'elenco di cui a comma 2 art. 6 DPR 380/2001;2016-11-16T00:00:00.000+01:00;2019-11-16T00:00:00.000+01:00;VIA ROMANO GIULIO N.  8  PIANO T/S;9.20016376212;45.4485620386;45.4485620386, 9.20016376212
SI-SCIA a sportello;piazza castello n. 25 - opere di m.o. della copertura con intervento di rifacimento della struttura del  tetto in legno -  ;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-15T00:00:00.000+01:00;2019-11-15T00:00:00.000+01:00;PIAZZA CASTELLO N.  25;9.17747384579;45.4693713764;45.4693713764, 9.17747384579
SI-SCIA a sportello;via messina n. 2 - cambio destinazione d'uso da magazzino a laboratorio , realizzazione vespaio aerato , posa sanitari per creazione bagno , lievi modifiche interne - ;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-15T00:00:00.000+01:00;2019-11-15T00:00:00.000+01:00;VIA MESSINA N.  2;9.17591157378;45.4815508311;45.4815508311, 9.17591157378
SI-SCIA;via memeli goffredo n. 42 - DEMOLIZIONE E COSTRUZIONE TAVOLATI PER DIVERSA DISTRIBUZIONE INTERNA APERTURA  DI PORTA TRA INGRESSO E SOGGIORNO SU MURO DI SPINA OVE GIA' PRESENTE  INTERCAPEDINE;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-14T00:00:00.000+01:00;2019-11-14T00:00:00.000+01:00;VIA MAMELI GOFFREDO N.  42  PIANO 2;9.21330406876;45.4636541177;45.4636541177, 9.21330406876
SI-SCIA;via cappellini alfredo n. 14 - Unione di due unità catastali distinte con uso abitativo al piano I e II dello  stabile, mediante la demolizione di porzione di solaio esistente e l'  installazione di una nuova scala di collegamento interna all'appartamento.  Demolizione e costruzione di alcuni tavolati interni non portanti e spostamento  di alcune porte al piano I.;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-14T00:00:00.000+01:00;2019-11-14T00:00:00.000+01:00;VIA CAPPELLINI ALFRED N.  14  PIANO 2;9.20176109518;45.4817841514;45.4817841514, 9.20176109518
comunicazione inizio attività edilizia libera;VIA PADOVA 304 -CAMBIO SERRANDA NEGOZIO;;2016-11-13T00:00:00.000+01:00;2019-11-13T00:00:00.000+01:00;VIA PADOVA N.  304;9.24887941923;45.5099690369;45.5099690369, 9.24887941923
comunicazione inizio attività edilizia libera;Via Angera 6 - CILA per istallazione inferriate su via Angera e opere interne di minima entità.;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-11-12T00:00:00.000+01:00;2019-11-12T00:00:00.000+01:00;VIA ANGERA N.  6;9.20322681214;45.4939205523;45.4939205523, 9.20322681214
super DIA;recupero ad uso abitativo di sottotetto;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05+Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001;2016-11-12T00:00:00.000+01:00;2019-11-12T00:00:00.000+01:00;VIA PARENZO N.  3  PIANO 2;9.14075994235;45.4425842305;45.4425842305, 9.14075994235
SI-SCIA a sportello;via padova  5  scia a variante prog. 19508/2016 riguardante la realizzazione di lievi modifiche interne.***UNITO ANTECEDENTE WF. N. 19508/2016***;manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.);2016-11-11T00:00:00.000+01:00;2019-11-11T00:00:00.000+01:00;VIA PADOVA N.  5  PIANO 4;9.2181820768;45.48737822;45.48737822, 9.2181820768
SI-SCIA;via carbonera azzo n. 12/14 - Frazionamento e fusione di due unità immobiliari e demolizione di scala interna. Il tutto senza incremento al numero di unità immobiliari.;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-11T00:00:00.000+01:00;2019-11-11T00:00:00.000+01:00;VIA CARBONERA AZZO N.  12 / 14;9.23039300942;45.4611346743;45.4611346743, 9.23039300942
comunicazione inizio attività edilizia libera;VIA MELI 27 -UNIONE DI 2 UNITA ABITATIVE AL PIANO T/1;;2016-11-09T00:00:00.000+01:00;2019-11-09T00:00:00.000+01:00;VIA MELI GIOVANNI N.  27;9.23952135192;45.5051326276;45.5051326276, 9.23952135192
super DIA;VARIANTE MINORE;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-11-09T00:00:00.000+01:00;2019-11-09T00:00:00.000+01:00;VIA CADORE N.  35  PIANO T/1/2;9.2124343142;45.4568303071;45.4568303071, 9.2124343142
SI-SCIA; VIA CURTATONE N.  7 INTERNO /  PIANO T      cambio di destinazione d'uso da negozio ad abitazione, modifica vetrina in  finestra e costruzione bagno interno  ;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-08T00:00:00.000+01:00;2019-11-08T00:00:00.000+01:00;VIA CURTATONE N.  7 INTERNO /  PIANO T;9.20245110723;45.4565506;45.4565506, 9.20245110723
SI-SCIA;VIA FILZI FABIO N. 14 - Manutenzione straordinaria comportante rinnovi e/o sostituzione di parti  strutturali degli edifici.;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-08T00:00:00.000+01:00;2019-11-08T00:00:00.000+01:00;VIA FILZI FABIO N.  14  PIANO 3;9.19992672664;45.4834745819;45.4834745819, 9.19992672664
SI-SCIA a sportello;via meucci antonio 50  scia a variante wf 15456/2015 modifica layaut interno disposizione dei servizi igienici,demolizione di muro di cinta***UNITO ANTECEDENTE WF 15456/2015 ****UNITA A VARIANTE WF 16193/17***;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005+manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.);2016-11-07T00:00:00.000+01:00;2019-11-07T00:00:00.000+01:00;VIA MEUCCI ANTONIO N.  50;9.2426396738;45.5088554865;45.5088554865, 9.2426396738
SI-SCIA;Viale Beatrice d'este, 9-FRAZIONAMENTO E FUSIONE CON DIVERSA DISTRIBUZIONE INTERNA, FORMAZIONE DI  SOPPALCHI E CONTESTUALE CAMBIO DI DESTINAZIONE D'USO DA UFFICIO A RESIDENZA++unita a wf 3353/2017+++;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005+manutenzione straordinaria con variazione della destinazione d'uso;2016-11-07T00:00:00.000+01:00;2019-11-07T00:00:00.000+01:00;VLE BEATRICE D'ESTE N.  9  PIANO T;9.19008831598;45.4521584543;45.4521584543, 9.19008831598
SI-SCIA a sportello;opre di m.s. interne /esterne relative all'u.i. commerciale sita in via fara 15 , p.terra ,appartenente a fabbricato di proprieta' esclusiva , priva di parti comuni - modifiche di tavolati interni- costruzione di nuova tettoia in carpenteria metallica , alto cortile interno , in parte appoggiata al fabbricato , in parte appoggiata a terra per la quale si allega rel.di calcolo strutturale ;;2016-11-07T00:00:00.000+01:00;2019-11-07T00:00:00.000+01:00;VIA FARA GUSTAVO N.  15;9.19807339861;45.4833397418;45.4833397418, 9.19807339861
SI-SCIA;VIA SALENTO N. 4 - collegamento con una scala del piano terra con lacantina spp;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-05T00:00:00.000+01:00;2019-11-05T00:00:00.000+01:00;VIA SALENTO N.  4  PIANO t-s1;9.1797217372;45.4402228796;45.4402228796, 9.1797217372
SI-SCIA a sportello;VIA SANSOVINO 1 - realizzazione di un nuovo servizio igienico e piccolo soppalco nel retro negozio - il nuovo locale bagno sara' collegato alla colonna fognaria esistente ;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-05T00:00:00.000+01:00;2019-11-05T00:00:00.000+01:00;VIA SANSOVINO N.  1;9.2175492348;45.4792183676;45.4792183676, 9.2175492348
super DIA;recupero abitativo di sottotetto con la realizzazione di una unita' abitativa  con la ricostruzione della copertura e la realizzazione di nuovi serramenti ** UNITA A VAR WF 1092372017;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-11-04T00:00:00.000+01:00;2019-11-04T00:00:00.000+01:00;VIA SIUSI N.  11;9.23411360152;45.4931765536;45.4931765536, 9.23411360152
SI-SCIA a sportello;via don minzoni 27 scia a variante wf 8521/2016 opere interne con contestuale mutamento di destinazione d'uso da artigianale a residenziale a  variante del progetto wf. 852116;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-10-31T00:00:00.000+01:00;2019-10-31T00:00:00.000+01:00;VIA DON MINZONI GIOVA N.  27;9.16819751524;45.5064179622;45.5064179622, 9.16819751524
comunicazione inizio attività edilizia libera;VIA BELINZAGHI 6 CILA PER FUSIONE DI DUE UNITA' E ALLARGAMENTO DI UN BAGNO;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-10-30T00:00:00.000+02:00;2019-10-30T00:00:00.000+01:00;VIA BELINZAGHI GIULIO N.  6;9.18755681803;45.4955100412;45.4955100412, 9.18755681803
super DIA;Completamento opere di ristrutturazione - UNITO A SCIA W.F. 8246/17;Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001;2016-10-29T00:00:00.000+02:00;2019-10-29T00:00:00.000+01:00;VIA DE NOTARIS GIUSEP N.  50 / b;9.24282278842558;45.5118014740953;45.5118014740953, 9.24282278842558
super DIA;D.I.A. a VARIANTE RIF. W.F. 15776/13 Apertura di due luci (finestre piano seminterrato) e ridistribuzione degli  spazi interni, tramite nuova posizione dei tavolati, in via monte generoso 46;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2016-10-29T00:00:00.000+02:00;2019-10-29T00:00:00.000+01:00;VIA MONTE GENEROSO N.  46;9.15373418832;45.4937325984;45.4937325984, 9.15373418832
SI-SCIA a sportello;VIA TERRAGGIO N.  17  PIANO 4   - scia a variante wf 3047/2016 spostamento di un tavolato++inserito antecedente wf 3047/2016+++;manutenzione straordinaria con variazione della destinazione d'uso;2016-10-28T00:00:00.000+02:00;2019-10-28T00:00:00.000+01:00;VIA TERRAGGIO N.  17  PIANO 4;9.17562340267;45.4648549773;45.4648549773, 9.17562340267
SI-SCIA a sportello;VIA DURINI 1 -scia a variante wf 10173/2016 modifiche interne;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-10-28T00:00:00.000+02:00;2019-10-28T00:00:00.000+01:00;VIA DURINI N.  1;9.19736076434;45.4636999197;45.4636999197, 9.19736076434
SI-SCIA a sportello;VIA TIRSO N. 9 - cambio d' uso da negozio ad abitazione piu' diversa distribuzione degli spazi interni piu' rifacimento impianti;manutenzione straordinaria con variazione della destinazione d'uso;2016-10-27T00:00:00.000+02:00;2019-10-27T00:00:00.000+02:00;VIA TIRSO N.  9;9.19875049094;45.4386771253;45.4386771253, 9.19875049094
SI-SCIA a sportello;CORSO GARIBALDI N.  49  PIANO T-S1      scia a variante wf 9621/2016 opere interne ed esterne;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-10-26T00:00:00.000+02:00;2019-10-26T00:00:00.000+02:00;CORSO GARIBALDI N.  49  PIANO T-S1;9.18320814024;45.4739299852;45.4739299852, 9.18320814024
SI-SCIA;via camperio  2  Intervento di risanamento conservativo per modifiche interne ed esterne in  edificio ad uso direzionale****unita a variante wf 11991/17.;restauro o risanamento conservativo di cui all'art. 27.1 lett.c) L.R. 12/2005;2016-10-26T00:00:00.000+02:00;2019-10-26T00:00:00.000+02:00;VIA CAMPERIO MANFREDO N.  2;9.18366336888;45.4659385062;45.4659385062, 9.18366336888
SI-SCIA;"piazza bottini  4  Cambio di destinazione d'uso da residenziale ad ufficio;  opere interne da  eseguire: demolizione costruzione di tavolati divisori.";manutenzione straordinaria con variazione della destinazione d'uso;2016-10-26T00:00:00.000+02:00;2019-10-26T00:00:00.000+02:00;PIAZZA BOTTINI ENRICO N.  4  PIANO 2;9.23612110637;45.4841563131;45.4841563131, 9.23612110637
SI-SCIA;VIA S. ROCCO N. 5 - Installazione di nuova piattaforma elevatrice interno al vano scala.di stabile civile esistente, senza modiche scala attuale;opere di eliminazione barriere architettoniche con realizzazione di manufatti che alterano la sagoma dell'edificio;2016-10-24T00:00:00.000+02:00;2019-10-24T00:00:00.000+02:00;VIA S. ROCCO N.  5;9.20063675506;45.4495768935;45.4495768935, 9.20063675506
SI-SCIA a sportello;Via Degli Etruschi, 9- SCIA A PROG. 10481/2016 riguardanti lievi modifiche interne***UNITO  ANTECEDENTE WF10481/2016***;manutenzione straordinaria facente parte di intervento in variante a precedente titolo edilizio;2016-10-24T00:00:00.000+02:00;2019-10-24T00:00:00.000+02:00;VIA DEGLI ETRUSCHI N.  9 INTERNO 93  PIANO 2°;9.2234285913;45.453724884;45.453724884, 9.2234285913
SI-SCIA a sportello;Via Don Bartolomeo GRAZIOLI n°73 -scia a variante wf 15158/2013 modifiche interne;manutenzione straordinaria con frazionamento di U.I.;2016-10-24T00:00:00.000+02:00;2019-10-24T00:00:00.000+02:00;VIA GRAZIOLI DON BART N.  73  PIANO t;9.16915487893;45.5083628941;45.5083628941, 9.16915487893
super DIA; variante ad atti p.g. 231452/2016 - modifica opere in copertura gia' asseverate ;;2016-10-23T00:00:00.000+02:00;2019-10-23T00:00:00.000+02:00;VIALE MONTE GRAPPA N.  3;9.18948436755;45.4806229682;45.4806229682, 9.18948436755
comunicazione inizio attività edilizia libera;VIA BORROMINI 6 - LA PRESENTE ANNULLA E SOSTITUISCE PRECEDENTE CIAL W.F. 15104/2016PIANO S1 - S2 - FORMAZIONE DI TAVOLATI INTERNI ;interventi di manutenzione straordinaria relativi a singola unità immobiliare non riguardanti le parti strutturali dell'edificio che non comprendano frazionamento o accorpamento delle unità immobiliari e che non incidano sulla facciata o sulle parti esterne dell'edificio oggetto di intervento;2016-10-23T00:00:00.000+02:00;2019-10-23T00:00:00.000+02:00;VIA BORROMINI FRANCES N.  6;9.17978403226;45.4447043091;45.4447043091, 9.17978403226
super DIA;INTERVENTO DI RECUPERO SOTTOTETTO CON COLLEGAMENTO UNITÀ IMMOBILIARI P. 6° 7°  8°;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-10-23T00:00:00.000+02:00;2019-10-23T00:00:00.000+02:00;PIAZZALE LAVATER N.  3  PIANO 6-7-8;9.20986274864;45.4770935207;45.4770935207, 9.20986274864
super DIA;OPERE DI MANUTENZIONE STRAORDINARIA CONSISTENTI IN MODIFICHE ESTERNE E  MODIFICHE ALLA DISTRIBUZIONE DEI LOCALI.;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2016-10-22T00:00:00.000+02:00;2019-10-22T00:00:00.000+02:00;VIA BRACCIANO N.  11;9.19290415055;45.4904302784;45.4904302784, 9.19290415055
SI-SCIA a sportello;via lambruschini  9  scia in variante a prog. 14369/2016 riguardante lo spostamento di porta del locale immondizia e relativo marciapiede di accesso*****UNITA SCIA ANTECEDENTE N. PROG. 1436916*****;manufatti pertinenziali non rientranti nella nuova costruzione ai sensi dell'art. 27.1lett.e.6) L.R. 12/2005;2016-10-20T00:00:00.000+02:00;2019-10-20T00:00:00.000+02:00;VIA LAMBRUSCHINI RAFF N.  9  PIANO TERRA;9.15665805504;45.5024548146;45.5024548146, 9.15665805504
SCIA;varianti interne agli appartamenti, modifiche muratura di recinzione e lievi  modifiche ai serramenti esterni;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2016-10-20T00:00:00.000+02:00;2019-10-20T00:00:00.000+02:00;VIA DEI VALTORTA N.  39;9.22604462624;45.4999100785;45.4999100785, 9.22604462624
super DIA;recupero di sottotetto ai fini abitativi e opere di manutenzione straordinaria ;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-10-19T00:00:00.000+02:00;2019-10-19T00:00:00.000+02:00;VIA COLLA PIETRO N.  12;9.08964976002;45.4689886475;45.4689886475, 9.08964976002
SCIA; SCIA VARIANTE RIF. WF: 8200/2014consistente in modifiche interne  con  fusione di due unità immobiliari, lievi modifiche di facciata e modifica di  boxes.;Nuova costruzione - art.10.1 lettera a) del DPR/380/2001  esclusivamente in caso di variante ai sensi dell'art.22.2 D.P.R. 380/2001;2016-10-19T00:00:00.000+02:00;2019-10-19T00:00:00.000+02:00;VIA RESNATI LUIGI N.  4;9.22127167309;45.4513885245;45.4513885245, 9.22127167309
SI-SCIA a sportello;VIA SOLARI ANDREA N. 47 - fusione di 4 unita' immobiliari con cambio d'uso da laboratorio e negozio a residenza , demolizione e costruzione di tavolati interni - modifica dei prospetti ;;2016-10-19T00:00:00.000+02:00;2019-10-19T00:00:00.000+02:00;VIA SOLARI ANDREA N.  47;9.15596501232;45.4525009218;45.4525009218, 9.15596501232
SI-SCIA;galleria buenos aires  13  Demolizione scala interna esistente e realizzazione nuova scala interna  /  sostituzione vetrine di facciata.;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-10-18T00:00:00.000+02:00;2019-10-18T00:00:00.000+02:00;GALLERIA BUENOS AIRES N.  13  PIANO 1, -1;9.21077749677;45.4797559003;45.4797559003, 9.21077749677
SCIA;VARIANTEA DA TTI P.G. 387318/2015 -;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-10-17T00:00:00.000+02:00;2019-10-17T00:00:00.000+02:00;VIA ARISTOTELE N.  29  PIANO 2-SOT;9.22458023289;45.506886463;45.506886463, 9.22458023289
super DIA;AMPLIAMENTO UNITA' IMMOBILIARE MEDIANTE RECUPERO ABITATIVO SOTTOTETTO;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-10-17T00:00:00.000+02:00;2019-10-17T00:00:00.000+02:00;VIA MASSIMIANO N.  21 / D  PIANO 1-2;9.24345326842;45.4831311396;45.4831311396, 9.24345326842
super DIA;Manutenzione straordinaria con recupero sottotetto e fusione unità immobiliari  in ampliamento UNITO A SCIA IN VARIANTE W.F. 9557/17;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001+Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-10-17T00:00:00.000+02:00;2019-10-17T00:00:00.000+02:00;VIA DELLA TORRE N.  1  PIANO 1;9.22156616987;45.5010692926;45.5010692926, 9.22156616987
comunicazione inizio attività edilizia libera;VIA VOGHERA 14 PIANO 3° -rif. CIALN 1554916  DIVERSA DISTRIBUZIONE INTERNA NUOVE FINITURE ADEGUAMENTO IMPIANTI AL PROGETTO;interventi di manutenzione straordinaria relativi a singola unità immobiliare non riguardanti le parti strutturali dell'edificio che non comprendano frazionamento o accorpamento delle unità immobiliari e che non incidano sulla facciata o sulle parti esterne dell'edificio oggetto di intervento;2016-10-15T00:00:00.000+02:00;2019-10-15T00:00:00.000+02:00;VIA VOGHERA N.  14;9.16748177638;45.4543001522;45.4543001522, 9.16748177638
